date	Channel 1
160308	14.2
171035	13.8
171136	13.3
171236	13.4
171336	13.0
171436	13.0
171536	13.4
171636	13.5
171736	13.5
171836	13.2
171936	13.8
172036	14.0
172136	13.5
172236	13.6
172336	13.5
172436	13.6
172536	13.8
172636	13.7
172737	14.1
172837	13.9
172937	13.8
173037	13.9
173137	13.7
173237	13.7
173337	14.1
173437	13.8
173537	14.0
173637	14.1
173737	14.0
173837	14.1
173937	14.5
174037	14.2
174137	14.1
174237	14.2
174338	14.2
174438	14.1
174538	14.0
174638	14.1
174738	14.3
174838	14.3
174938	14.3
175038	14.5
175138	14.1
175238	14.4
175338	14.1
175438	14.3
175538	14.2
175638	14.5
175738	14.5
175838	14.3
175939	14.3
180039	14.6
180139	14.5
180239	14.4
180339	14.5
180439	14.8
180539	14.5
180639	14.8
180739	14.3
180839	14.6
180939	14.3
181039	14.2
181139	14.5
181239	14.2
181339	14.1
181439	14.0
181540	14.1
181640	14.2
181740	14.4
181840	13.9
181940	14.1
182040	14.4
182140	14.4
182240	14.1
182340	14.1
182440	13.9
182540	14.1
182640	14.1
182740	14.2
182840	14.2
182940	14.0
183040	14.0
183140	14.0
183241	13.9
183341	13.7
183441	13.7
183541	13.8
183641	13.6
183741	13.5
183841	13.6
183941	13.5
184041	13.8
184141	13.3
184241	13.4
184341	13.6
184441	13.4
184541	13.5
184641	13.5
184741	13.4
184842	13.1
184942	13.5
185042	13.0
185142	13.5
185242	13.0
185342	13.2
185442	13.3
185542	13.2
185642	13.1
185742	13.2
185842	13.2
185942	13.2
190042	13.2
190142	13.2
190242	12.9
190342	12.8
190443	12.8
190543	12.7
190643	12.9
190743	12.8
190843	12.7
190943	13.1
191043	13.0
191143	12.8
191243	12.8
191343	12.9
191443	12.8
191543	12.8
191643	12.8
191743	12.9
191843	12.8
191943	12.6
192043	12.8
192144	12.7
192244	13.0
192344	12.8
192444	12.8
192544	12.8
192644	12.8
192744	12.8
192844	12.7
192944	12.8
193044	12.8
193144	12.8
193244	12.7
193344	12.8
193444	12.8
193544	12.8
193644	12.9
193745	12.8
193845	12.9
193945	12.8
194045	12.6
194145	12.7
194245	12.6
194345	12.4
194445	12.8
194545	12.8
194645	12.7
194745	12.5
194845	12.8
194945	12.6
195045	12.5
195145	12.4
195245	12.8
195345	12.5
195446	12.7
195546	12.7
195646	12.7
195746	12.5
195846	12.5
195946	12.8
200046	12.7
200146	12.5
200246	12.8
200346	12.7
200446	12.7
200546	12.5
200646	12.5
200746	12.5
200846	12.7
200946	12.6
201047	12.6
201147	12.4
201247	12.6
201347	12.5
201447	12.8
201547	12.6
201647	12.7
201747	12.7
201847	12.5
201947	12.4
202047	12.8
202147	12.3
202247	12.5
202347	12.5
202447	12.4
202547	12.4
202648	12.5
202748	12.5
202848	12.6
202948	12.4
203048	12.4
203148	12.3
203248	12.6
203348	12.3
203448	12.4
203548	12.4
203648	12.6
203748	12.4
203848	12.5
203948	12.4
204048	12.4
204148	12.4
204248	12.4
204349	12.4
204449	12.4
204549	12.4
204649	12.2
204749	12.6
204849	12.5
204949	12.5
205049	12.4
205149	12.8
205249	12.9
205349	12.8
205449	12.4
205549	12.4
205649	12.2
205749	12.3
205849	12.1
205949	12.1
210050	12.1
210150	12.0
210250	12.0
210350	12.4
210450	12.2
210550	12.2
210650	12.2
210750	12.0
210850	12.2
210950	12.0
211050	12.0
211150	11.9
211250	12.1
211350	12.0
211450	12.0
211550	12.2
211650	12.0
211751	12.0
211851	12.0
211951	12.0
212051	12.1
212151	12.0
212251	12.0
212351	12.0
212451	11.8
212551	12.0
212651	12.2
212751	11.9
212851	12.0
212951	11.9
213051	12.4
213151	12.0
213251	12.0
213352	11.9
213452	11.8
213552	11.7
213652	11.9
213752	12.0
213852	11.7
213952	11.8
214052	11.7
214152	11.6
214252	11.9
214352	11.8
214452	11.6
214552	11.5
214652	11.6
214752	11.6
214852	11.6
214952	11.6
215053	11.6
215153	11.8
215253	11.7
215353	11.7
215453	11.9
215553	11.6
215653	11.6
215753	11.5
215853	11.5
215953	11.7
220053	11.5
220153	11.8
220253	11.8
220353	11.6
220453	11.7
220553	11.6
220653	11.6
220754	11.7
220854	11.6
220954	11.6
221054	11.6
221154	11.6
221254	11.8
221354	11.6
221454	11.6
221554	11.4
221654	12.2
221754	11.6
221854	11.6
221954	11.8
222054	11.5
222154	11.3
222254	11.6
222355	11.7
222455	11.4
222555	11.6
222655	11.6
222755	11.8
222855	11.7
222955	11.6
223055	11.6
