date	Channel 1
09-12-2014 160005	13.2
10-12-2014 101346	13.8
10-12-2014 101446	13.6
10-12-2014 101546	13.7
10-12-2014 101646	14.0
10-12-2014 101746	14.1
10-12-2014 101846	14.5
10-12-2014 101946	14.2
10-12-2014 102046	14.4
10-12-2014 102146	14.5
10-12-2014 102247	14.4
10-12-2014 102347	14.5
10-12-2014 102447	14.4
10-12-2014 102547	14.4
10-12-2014 102647	14.6
10-12-2014 102747	14.2
10-12-2014 102847	14.5
10-12-2014 102947	14.8
10-12-2014 103047	14.6
10-12-2014 103147	14.8
10-12-2014 103247	14.7
10-12-2014 103347	14.6
10-12-2014 103447	14.4
10-12-2014 103547	14.8
10-12-2014 103647	14.8
10-12-2014 103747	14.7
10-12-2014 103848	14.8
10-12-2014 103948	14.7
10-12-2014 104048	14.8
10-12-2014 104148	14.7
10-12-2014 104248	14.6
10-12-2014 104348	15.0
10-12-2014 104448	14.7
10-12-2014 104548	14.8
10-12-2014 104648	14.9
10-12-2014 104748	14.6
10-12-2014 104848	14.9
10-12-2014 104948	14.5
10-12-2014 105048	14.5
10-12-2014 105148	14.6
10-12-2014 105248	13.6
10-12-2014 105348	14.8
10-12-2014 105449	14.8
10-12-2014 105549	14.5
10-12-2014 105649	14.5
10-12-2014 105749	14.8
10-12-2014 105849	14.6
10-12-2014 105949	14.5
10-12-2014 110049	13.5
10-12-2014 110149	14.5
10-12-2014 110249	14.4
10-12-2014 110349	14.7
10-12-2014 110449	14.7
10-12-2014 110549	14.6
10-12-2014 110649	14.5
10-12-2014 110749	14.5
10-12-2014 110849	14.5
10-12-2014 110949	14.5
10-12-2014 111050	14.5
10-12-2014 111150	14.6
10-12-2014 111250	14.5
10-12-2014 111350	14.5
10-12-2014 111450	14.5
10-12-2014 111550	14.5
10-12-2014 111650	14.5
10-12-2014 111750	14.4
10-12-2014 111850	14.4
10-12-2014 111950	14.4
10-12-2014 112050	14.4
10-12-2014 112150	14.6
10-12-2014 112250	14.5
10-12-2014 112350	14.7
10-12-2014 112450	14.6
10-12-2014 112550	14.5
10-12-2014 112651	14.5
10-12-2014 112751	13.3
10-12-2014 112851	14.6
10-12-2014 112951	14.4
10-12-2014 113051	14.4
10-12-2014 113151	14.4
10-12-2014 113251	14.7
10-12-2014 113351	14.5
10-12-2014 113451	14.5
10-12-2014 113551	14.6
10-12-2014 113651	14.7
10-12-2014 113751	14.4
10-12-2014 113851	14.4
10-12-2014 113951	14.5
10-12-2014 114051	13.1
10-12-2014 114151	14.6
10-12-2014 114251	14.5
10-12-2014 114352	14.4
10-12-2014 114452	14.7
10-12-2014 114552	14.7
10-12-2014 114652	14.7
10-12-2014 114752	14.7
10-12-2014 114852	14.9
10-12-2014 114952	14.6
10-12-2014 115052	14.8
10-12-2014 115152	14.6
10-12-2014 115252	13.2
10-12-2014 115352	14.6
10-12-2014 115452	14.5
10-12-2014 115552	14.9
10-12-2014 115652	14.7
10-12-2014 115752	14.6
10-12-2014 115852	14.7
10-12-2014 115953	14.8
10-12-2014 120053	14.7
10-12-2014 120153	14.8
10-12-2014 120253	14.8
10-12-2014 120353	14.6
