date	Channel 1
08-12-2014 120651	12.4
08-12-2014 120751	12.4
08-12-2014 120851	12.4
08-12-2014 120951	12.4
08-12-2014 121051	12.6
08-12-2014 121151	12.1
08-12-2014 121251	12.4
08-12-2014 121351	12.2
08-12-2014 121451	12.2
08-12-2014 121551	12.3
08-12-2014 121651	12.1
08-12-2014 121751	12.1
08-12-2014 121852	12.3
08-12-2014 121952	12.3
08-12-2014 122052	12.2
08-12-2014 122152	12.2
08-12-2014 122252	12.3
08-12-2014 122352	12.4
08-12-2014 122452	12.1
08-12-2014 122552	12.1
08-12-2014 122652	12.1
08-12-2014 122752	12.1
08-12-2014 122852	12.1
08-12-2014 122952	12.3
08-12-2014 123052	12.2
08-12-2014 123152	12.2
08-12-2014 123252	12.4
08-12-2014 123352	12.3
08-12-2014 123452	12.0
08-12-2014 123552	12.4
08-12-2014 123652	12.3
08-12-2014 123753	12.2
08-12-2014 123853	12.1
08-12-2014 123953	12.1
08-12-2014 124053	12.1
08-12-2014 124153	12.2
08-12-2014 124253	12.0
08-12-2014 124353	12.2
08-12-2014 124453	12.4
08-12-2014 124553	12.2
08-12-2014 124653	12.0
08-12-2014 124753	12.3
08-12-2014 124853	12.2
08-12-2014 124953	12.2
08-12-2014 125053	12.2
08-12-2014 125153	12.0
08-12-2014 125253	12.1
08-12-2014 125353	11.9
08-12-2014 125453	12.1
08-12-2014 125553	11.8
08-12-2014 125654	12.0
08-12-2014 125754	12.2
08-12-2014 125854	12.1
08-12-2014 125954	12.0
08-12-2014 130054	12.0
08-12-2014 130154	11.9
08-12-2014 130254	11.9
08-12-2014 130354	11.8
08-12-2014 130454	11.8
08-12-2014 130554	11.8
08-12-2014 130654	11.6
08-12-2014 130754	11.8
08-12-2014 130854	11.9
08-12-2014 130954	11.7
08-12-2014 131054	11.8
08-12-2014 131154	11.9
08-12-2014 131254	11.6
08-12-2014 131354	11.7
08-12-2014 131455	11.6
08-12-2014 131555	11.6
08-12-2014 131655	11.5
08-12-2014 131755	11.8
08-12-2014 131855	11.4
08-12-2014 131955	11.7
08-12-2014 132055	11.5
08-12-2014 132155	11.6
08-12-2014 132255	11.5
08-12-2014 132355	12.0
08-12-2014 132455	11.8
08-12-2014 132555	11.6
08-12-2014 132655	11.5
08-12-2014 132755	11.5
08-12-2014 132855	11.6
08-12-2014 132955	11.6
08-12-2014 133055	11.7
08-12-2014 133155	11.7
