date	Channel 1
110231	13.7
110356	13.4
110456	13.1
110556	13.2
110656	13.7
110756	14.1
110856	13.3
110956	13.1
111056	13.7
111156	13.1
111256	13.2
111357	13.5
111457	13.3
111557	13.4
111657	13.4
111757	13.1
111857	13.2
111957	13.4
112057	13.1
112157	13.2
112257	13.1
112357	13.3
112457	13.6
112557	13.5
112657	13.0
112757	13.2
112857	13.3
112958	13.4
113058	13.2
113158	13.4
113258	13.2
113358	13.1
113458	13.3
113558	13.2
113658	13.3
113758	13.6
113858	13.5
113958	13.5
114058	13.5
114158	13.2
114258	13.4
114358	13.3
114458	13.4
114558	13.2
114658	13.2
114759	13.6
114859	13.2
114959	13.2
115059	13.5
115159	13.6
115259	13.2
115359	13.4
115459	13.2
115559	13.4
115659	13.5
115759	13.6
115859	13.4
115959	13.6
120059	13.9
120159	13.7
120259	13.5
120359	14.0
120459	13.6
120600	13.6
120700	14.4
120800	13.9
120900	13.6
121000	13.7
121100	13.6
121200	13.8
121300	13.8
121400	13.6
121500	13.7
121600	13.7
121700	13.7
121800	13.8
121900	13.8
122000	13.8
122101	13.6
122201	13.4
122301	13.5
122401	13.5
122501	13.6
122601	13.6
122701	13.6
122801	13.4
122901	13.7
123001	13.5
123101	13.6
123201	13.6
123301	13.5
123401	13.6
123501	13.4
123601	13.6
123701	13.6
123802	13.6
123902	13.6
124002	13.7
124102	13.7
124202	13.7
124302	13.7
124402	13.6
124502	13.4
124602	13.7
124702	13.4
124802	13.6
124902	13.7
125002	13.6
125102	13.8
125202	13.7
125302	13.9
125402	13.9
125503	13.8
125603	13.9
125703	13.6
125803	13.8
125903	13.9
130003	14.0
130103	13.9
130203	13.8
130303	13.7
130403	14.1
130503	14.1
130603	14.0
130703	13.7
130803	13.7
130903	14.0
131003	14.0
131104	13.8
131204	13.9
131304	14.1
131404	13.7
131504	13.7
131604	13.9
131704	14.0
131804	13.8
131904	13.9
132004	13.8
132104	14.0
132204	14.0
132304	13.9
132404	13.9
132504	14.0
132604	14.1
132704	14.0
132805	14.0
132905	14.1
133005	14.3
133105	14.1
133205	14.2
133305	14.5
133405	14.5
133505	14.4
133605	14.2
133705	14.5
133805	14.2
133905	14.1
134005	14.2
134105	14.4
134205	14.4
134305	14.1
134405	14.1
134506	14.1
134606	14.1
134706	13.7
134806	13.9
134906	14.1
135006	14.0
135106	14.1
135206	14.1
135306	14.1
135406	14.1
135506	14.1
135606	13.9
135706	14.1
135806	14.1
135906	14.1
140006	14.0
140107	13.9
140207	13.8
140307	13.9
140407	13.8
140507	13.7
140607	14.0
140707	14.1
140807	14.0
140907	13.7
141007	14.1
141107	14.1
141207	14.1
141307	14.1
141407	14.1
141507	13.8
141607	13.7
141707	14.0
141808	14.1
141908	13.9
142008	13.8
142108	14.1
142208	13.8
142308	14.1
142408	13.7
142508	14.1
142608	14.0
142708	14.1
142808	14.1
142908	13.8
143008	13.9
143108	13.8
143208	13.7
143309	13.7
143409	13.8
143509	13.7
143609	13.9
143709	14.0
143809	13.7
143909	13.7
144009	13.9
144109	13.7
144209	14.1
144309	13.7
144409	13.9
144509	14.0
144609	14.1
144709	13.9
144809	13.9
144910	13.9
145010	14.0
145110	13.7
145210	14.1
145310	13.9
145410	14.0
145510	14.0
145610	14.0
145710	14.0
145810	14.1
145910	14.1
150010	14.1
150110	14.1
150210	13.9
150310	14.1
150410	14.1
150510	14.0
150611	14.0
150711	13.7
150811	13.8
150911	13.8
151011	14.0
151111	13.8
151211	14.1
151311	14.1
151411	14.0
151511	14.1
151611	14.1
151711	14.1
151811	14.1
151911	14.1
152011	14.3
152111	14.4
152212	14.6
152312	14.6
152412	14.5
152512	14.7
152612	14.9
152712	14.7
152812	14.8
152912	14.9
153012	14.9
153112	14.6
153212	14.9
153312	14.9
153412	15.1
153512	14.9
153612	14.9
153712	14.9
153812	14.6
153913	14.8
154013	14.7
154113	14.7
154213	14.7
154313	14.5
154413	14.9
154513	14.9
154613	15.0
154713	15.0
154813	15.3
154913	14.9
155013	14.9
155113	14.9
155213	14.7
155313	15.0
155413	14.9
155514	15.1
155614	15.2
155714	14.5
155814	14.8
155914	14.6
160014	14.5
160114	15.0
160214	14.7
